Date,QQQ,ASTS,BRK/B,CBOE,COIN,DDOG,GOOGL,HOOD,INTU,JEPQ,MDB,MELI,META,MSFT,MSTR,NBIS,NET,PATH,PLTR,QQQM,RDDT,SGOV,SHOP,SMCI,SNAP,SNOW,TQQQ,ULTY,WIX,XYZ
2023-08-02,369.7372741699219,4.170000076293945,351.19000244140625,138.87474060058594,90.43000030517578,106.83000183105469,127.61465454101562,12.4399995803833,491.8824157714844,39.833309173583984,398.739990234375,1164.81005859375,312.5950927734375,322.4854736328125,40.733001708984375,,64.11000061035156,16.40999984741211,18.969999313354492,151.96737670898438,,91.32644653320312,62.43000030517578,31.961000442504883,10.970000267028809,164.60000610351562,40.87653732299805,,88.51000213623047,74.48999786376953
2023-08-03,369.1446838378906,4.260000228881836,353.80999755859375,139.07339477539062,90.75,107.0999984741211,127.6842269897461,11.539999961853027,490.82562255859375,39.759342193603516,402.79998779296875,1323.1099853515625,311.481201171875,321.6583251953125,38.99100112915039,,65.04000091552734,16.299999237060547,18.709999084472656,151.68124389648438,,91.35379791259766,59.040000915527344,32.12099838256836,10.789999961853027,161.0500030517578,40.584693908691406,,99.95999908447266,73.55000305175781
2023-08-04,367.4164733886719,4.239999771118164,349.989990234375,144.59622192382812,87.30999755859375,107.52999877929688,127.34625244140625,11.279999732971191,490.82562255859375,39.734676361083984,401.57000732421875,1296.1600341796875,309.0346374511719,322.76116943359375,37.696998596191406,,69.5199966430664,16.079999923706055,18.200000762939453,151.01034545898438,,91.37200927734375,57.93000030517578,33.808998107910156,10.75,166.6699981689453,40.020477294921875,,94.20999908447266,63.52000045776367
2023-08-07,370.52728271484375,4.389999866485596,362.5799865722656,145.3114013671875,85.95999908447266,106.30000305175781,130.74588012695312,11.34000015258789,499.00311279296875,40.063472747802734,397.54998779296875,1358.81005859375,314.8327941894531,325.0555419921875,37.082000732421875,,67.79000091552734,16.190000534057617,17.989999771118164,152.25347900390625,,91.3811264038086,57.56999969482422,35.32899856567383,10.569999694824219,166.6699981689453,41.012718200683594,,94.87000274658203,64.01000213623047
2023-08-08,367.376953125,4.630000114440918,363.7300109863281,144.98361206054688,88.04000091552734,88.04000091552734,130.61663818359375,11.100000381469727,494.6082458496094,39.7922248840332,370.19000244140625,1328.3599853515625,310.9342346191406,321.05767822265625,38.948001861572266,,66.58999633789062,15.829999923706055,17.040000915527344,150.96104431152344,,91.39021301269531,56.189998626708984,34.7400016784668,10.539999961853027,156.3300018310547,39.96211624145508,,91.0,62.380001068115234
2023-08-09,363.3377685546875,4.440000057220459,358.0199890136719,145.20213317871094,84.33999633789062,86.76000213623047,128.88702392578125,10.800000190734863,490.5491638183594,39.4305419921875,360.0,1312.6600341796875,303.54473876953125,317.29620361328125,37.784000396728516,,63.59000015258789,15.470000267028809,15.25,149.2838134765625,,91.4175796508789,55.20000076293945,26.613000869750977,10.4399995803833,154.07000732421875,38.62939453125,,90.41000366210938,62.709999084472656
2023-08-10,364.0093078613281,4.28000020980835,356.9800109863281,147.36756896972656,83.38999938964844,90.72000122070312,128.91685485839844,10.729999542236328,495.2601013183594,39.49630355834961,359.6600036621094,1387.06005859375,304.07183837890625,317.9854736328125,37.80099868774414,,63.290000915527344,15.420000076293945,15.40999984741211,149.6291046142578,,91.44490051269531,56.470001220703125,27.711999893188477,10.220000267028809,155.02000427246094,38.80449295043945,,92.08000183105469,62.2400016784668
2023-08-11,361.6885070800781,4.25,358.3500061035156,149.2449188232422,81.01000213623047,89.44000244140625,128.78759765625,10.720000267028809,491.60589599609375,39.3072509765625,356.2200012207031,1330.0,299.9942321777344,316.0948486328125,38.430999755859375,,63.61000061035156,15.1899995803833,15.40999984741211,148.65237426757812,,91.45403289794922,55.27000045776367,25.44300079345703,10.029999732971191,153.3699951171875,38.02626419067383,,89.80000305175781,60.56999969482422
2023-08-14,365.7474365234375,4.369999885559082,358.4800109863281,147.5364227294922,80.80999755859375,89.77999877929688,130.5470733642578,10.649999618530273,499.5364685058594,39.71824645996094,364.4100036621094,1296.52001953125,304.5194091796875,319.0784912109375,38.882999420166016,,65.63999938964844,15.449999809265137,15.720000267028809,150.35919189453125,,91.48135375976562,55.97999954223633,26.945999145507812,9.9399995803833,152.86000061035156,39.29088592529297,,89.27999877929688,60.150001525878906
2023-08-15,361.86627197265625,3.684999942779541,354.5,148.3409881591797,79.18000030517578,88.5199966430664,129.00631713867188,10.40999984741211,491.02313232421875,39.39765548706055,367.3399963378906,1286.0400390625,300.30255126953125,316.9317932128906,37.6150016784668,,62.11000061035156,15.460000038146973,15.369999885559082,148.76089477539062,,91.4904556274414,55.34000015258789,26.422000885009766,9.5600004196167,151.10000610351562,38.084632873535156,,89.01000213623047,58.36000061035156
